SF,TP,CL,len_CL,len_SF
3002167,1,1000000,1,7
3002168,1,1000001,1,7
3002176,1,1000000,1,7
3000439,1,1000000,1,7
3001979,1,1000001,1,7
3001568,1,1000000,1,7
3000067,1,1000001,1,7
3000355,1,1000001,1,7
3000649,1,1000000,1,7
3001852,1,1000000,1,6
3000988,1,1000004,1,6
3001186,1,1000000,1,6
3000984,1,1000003,1,6
3000958,1,1000003,1,6
3000128,1,1000000,1,6
3001205,1,1000000,1,6
3001201,1,1000001,1,6
3001587,1,1000000,1,6
3000265,1,1000003,1,6
3001842,1,1000002,1,6
3001203,1,1000000,1,6
3002055,1,1000001,1,6
3001908,1,1000001,1,6
3000146,1,1000002,1,6
3000976,1,1000003,1,6
3000550,1,1000000,1,6
3002403,1,1000000,1,6
3001204,1,1000003,1,6
3001815,1,1000001,1,6
3002439,1,1000003,1,6
3000996,1,1000000,1,6
3001722,1,1000003,1,6
3001961,1,1000000,1,6
3001731,1,1000000,1,6
3000535,1,1000003,1,6
3000663,1,1000002,1,6
3000443,1,1000001,1,6
3001898,1,1000000,1,6
3002011,1,1000001,1,6
3002017,1,1000001,1,6
3001101,1,1000002,1,6
3001104,1,1000004,1,6
3002676,1,1000000,1,6
3001671,1,1000001,1,6
3000015,1,1000001,1,6
3001662,1,1000000,1,6
3002027,1,1000004,1,6
3002569,1,1000003,1,6
3002546,1,1000000,1,6
3001635,1,1000001,1,6
3000474,1,1000003,1,6
3001865,1,1000001,1,6
3001630,1,1000002,1,6
3000708,1,1000002,1,6
3002452,1,1000000,1,6
3000414,1,1000000,1,6
3000998,1,1000001,1,6
3000549,1,1000002,1,6
3000276,1,1000001,1,6
3000140,1,1000000,1,6
3001476,1,1000001,1,6
3001294,1,1000003,1,6
3000042,1,1000002,1,6
3000324,1,1000002,1,6
3001462,1,1000001,1,6
3000583,1,1000002,1,6
3000581,1,1000000,1,6
3002287,1,1000000,1,6
3002165,1,1000001,1,6
3000486,1,1000004,1,6
3001829,1,1000003,1,6
3000917,1,1000004,1,6
3000328,1,1000001,1,6
3001301,1,1000003,1,6
3000308,1,1000002,1,6
3001920,1,1000002,1,6
3001413,1,1000003,1,6
3000812,1,1000000,1,6
3002057,1,1000001,1,6
3002251,1,1000001,1,6
3000907,1,1000003,1,6
3000806,1,1000000,1,6
3001339,1,1000003,1,6
3001435,1,1000001,1,6
3001940,1,1000002,1,6
3001552,1,1000000,1,6
3000074,1,1000001,1,6
3000348,1,1000000,1,6
3001921,1,1000003,1,6
3002349,1,1000000,1,6
3001513,1,1000000,1,6
3000586,1,1000002,1,6
3001357,1,1000000,1,6
3001381,1,1000000,1,5
3002196,1,1000001,1,5
3001723,1,1000003,1,5
3001421,1,1000003,1,5
3000026,1,1000000,1,5
3001726,1,1000001,1,5
3001742,1,1000003,1,5
3002590,1,1000003,1,5
3001644,1,1000002,1,5
3002726,1,1000001,1,5
3000212,1,1000002,1,5
3001976,1,1000000,1,5
3002243,1,1000003,1,5
3000021,1,1000000,1,5
3000096,1,1000003,1,5
3002234,1,1000001,1,5
3001874,1,1000000,1,5
3001402,1,1000000,1,5
3001696,1,1000001,1,5
3001688,1,1000003,1,5
3001123,1,1000000,1,5
3001347,1,1000003,1,5
3002220,1,1000000,1,5
3002355,1,1000000,1,5
3001633,1,1000000,1,5
3001126,1,1000003,1,5
3001914,1,1000000,1,5
3002410,1,1000003,1,5
